Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
6.61529E-4,48.812305593,0.467088551,0.025339186,0.378787879,0
6.70017E-4,49.012942036,0.470263203,0.025039904,0.378787879,0
6.78898E-4,49.283306153,0.473544887,0.024640862,0.378787879,0
6.87619E-4,49.55740458,0.476727728,0.02424182,0.386363636,0
6.94029E-4,49.764739254,0.479042986,0.023942538,0.386363636,0
7.00047E-4,50.043765249,0.481198101,0.023543496,0.386363636,0
7.03301E-4,50.254446584,0.48235573,0.023244214,0.386363636,0
7.10716E-4,50.53782065,0.48497506,0.022845172,0.386363636,0
7.14931E-4,50.75167974,0.486452232,0.02254589,0.386363636,0
7.2278E-4,51.039959299,0.489180191,0.022146848,0.386363636,0
7.31822E-4,51.259351067,0.492287371,0.021847566,0.393939394,0
7.36401E-4,51.553282585,0.493846284,0.021448524,0.401515152,0
7.39528E-4,51.774737127,0.494905475,0.021149242,0.401515152,0
7.53495E-4,52.072380949,0.499582853,0.0207502,0.401515152,0
7.57641E-4,52.299090946,0.5009547,0.020450918,0.409090909,0
7.63465E-4,52.527500625,0.502869117,0.020151636,0.409090909,0
7.66857E-4,52.757403333,0.503977262,0.019852354,0.409090909,0
7.85632E-4,53.068051659,0.51002322,0.019453312,0.409090909,0
7.98048E-4,53.30641271,0.513940916,0.01915403,0.409090909,0
8.12053E-4,53.549117881,0.518285451,0.018854749,0.409090909,0
8.22698E-4,53.794499409,0.521536228,0.018555467,0.416666667,0
8.42389E-4,54.045509949,0.527435226,0.018256185,0.416666667,0
8.57158E-4,54.301949337,0.531765153,0.017956903,0.424242424,0
8.83031E-4,54.563633132,0.539162116,0.017657622,0.424242424,0
8.90774E-4,54.830110031,0.541330419,0.01735834,0.431818182,0
8.96734E-4,55.009132961,0.542985671,0.017158819,0.439393939,0
9.09747E-4,55.28081658,0.546558742,0.016859537,0.439393939,0
9.18738E-4,55.555127249,0.548994987,0.016560255,0.439393939,0
9.3454E-4,55.833913946,0.553213692,0.016260974,0.446969697,0
9.35948E-4,56.021023232,0.553585639,0.016061453,0.454545455,0
9.42774E-4,56.303059593,0.555380802,0.015762171,0.46969697,0
9.7001E-4,56.592463817,0.562401802,0.015462889,0.477272727,0
9.87158E-4,56.789307163,0.566709802,0.015263368,0.477272727,0
1.04563E-3,57.095426338,0.580780902,0.014964086,0.492424242,0
1.11722E-3,57.317550874,0.596813581,0.014764565,0.492424242,0
1.12713E-3,57.542685529,0.598937627,0.014565044,0.492424242,0
1.14298E-3,57.770489545,0.602285973,0.014365523,0.492424242,0
1.14801E-3,58.114720217,0.603338976,0.014066241,0.5,0
1.17543E-3,58.348559107,0.608973142,0.01386672,0.507575758,0
1.24036E-3,58.592016765,0.621699982,0.013667199,0.507575758,0
1.26227E-3,58.843970381,0.625808738,0.013467678,0.515151515,0
1.27405E-3,59.098334776,0.627980581,0.013268156,0.522727273,0
1.305E-3,59.357128948,0.633571688,0.013068635,0.522727273,0
1.32933E-3,59.620686473,0.637848485,0.012869114,0.522727273,0
1.33587E-3,59.754273259,0.638981376,0.012769354,0.522727273,0
1.34608E-3,60.022490694,0.640735788,0.012569832,0.53030303,0
1.37413E-3,60.296539211,0.645469667,0.012370311,0.53030303,0
1.37696E-3,60.571866811,0.645940049,0.01217079,0.537878788,0
1.38248E-3,60.847925791,0.646854778,0.011971269,0.553030303,0
1.40771E-3,61.128337727,0.650975341,0.011771748,0.560606061,0
1.41716E-3,61.270053571,0.652493627,0.011671987,0.568181818,0
1.46383E-3,61.559288428,0.65980405,0.011472466,0.575757576,0
1.50844E-3,61.858944527,0.666509295,0.011272945,0.575757576,0
1.51731E-3,62.010675269,0.667811182,0.011173184,0.575757576,0
1.56087E-3,62.320070376,0.674060521,0.010973663,0.575757576,0
1.62457E-3,62.641078395,0.682787125,0.010774142,0.583333333,0
1.62835E-3,62.803913637,0.683290104,0.010674381,0.590909091,0
1.63571E-3,63.13033316,0.684265113,0.01047486,0.598484848,0
1.66392E-3,63.296725126,0.68794741,0.0103751,0.598484848,0
1.7098E-3,63.635049527,0.693756445,0.010175579,0.606060606,0
1.72966E-3,63.808015428,0.696204548,0.010075818,0.606060606,0
1.76378E-3,64.157376727,0.700319919,0.009876297,0.606060606,0
1.77579E-3,64.334955729,0.701742643,0.009776536,0.613636364,0
1.78737E-3,64.513692452,0.703100954,0.009676776,0.613636364,0
1.8183E-3,64.876559061,0.706670427,0.009477255,0.613636364,0
1.83775E-3,65.060333799,0.708870603,0.009377494,0.621212121,0
1.8979E-3,65.435512343,0.715472016,0.009177973,0.628787879,0
1.95326E-3,65.630838472,0.72128911,0.009078212,0.628787879,0
1.95728E-3,65.826566609,0.721702246,0.008978452,0.628787879,0
1.95799E-3,66.022365602,0.721774936,0.008878691,0.628787879,0
2.01894E-3,66.421694264,0.727888297,0.00867917,0.628787879,0
2.02082E-3,66.623775841,0.728072645,0.008579409,0.628787879,0
2.06308E-3,66.830083989,0.732151382,0.008479649,0.636363636,0
2.07773E-3,67.037857072,0.733536669,0.008379888,0.636363636,0
2.14901E-3,67.252758435,0.740077916,0.008280128,0.643939394,0
2.20085E-3,67.691107777,0.744636598,0.008080607,0.651515152,0
